River Level - Waipa River - Otewa - 1st May 2014 - 18th May 2025

date,time,wlvalue,flvalue
2019-10-22,01:00:00,75.955,13.436
2019-10-23,01:00:00,76.013,15.621
2019-10-24,01:00:00,75.991,14.779
2019-10-25,01:00:00,75.973,14.084
2019-10-26,01:00:00,75.927,12.421
2019-10-27,01:00:00,75.901,11.564
2019-10-28,01:00:00,75.884,10.998
2019-10-29,01:00:00,75.866,10.399
2019-10-30,01:00:00,75.834,9.387
2019-10-31,01:00:00,75.831,9.280
2019-11-01,01:00:00,75.803,8.423
2019-11-02,01:00:00,75.783,7.828
2019-11-03,01:00:00,75.763,7.253
2019-11-04,01:00:00,75.755,7.033
2019-11-05,01:00:00,75.723,6.161
2019-11-06,01:00:00,75.713,5.908
2019-11-07,01:00:00,75.698,5.548
2019-11-08,01:00:00,75.681,5.171
2019-11-09,01:00:00,75.675,5.046
2019-11-10,01:00:00,75.768,7.887
2019-11-11,01:00:00,76.069,17.973
2019-11-12,01:00:00,75.818,8.909
2019-11-13,01:00:00,75.753,6.973
2019-11-14,01:00:00,75.776,7.485
2019-11-15,01:00:00,75.808,8.337
2019-11-16,01:00:00,75.761,7.084
2019-11-17,01:00:00,75.741,6.573
2019-11-18,01:00:00,75.826,8.849
2019-11-19,01:00:00,75.798,8.063
2019-11-20,01:00:00,75.763,7.138
2019-11-21,01:00:00,75.737,6.470
2019-11-22,01:00:00,75.717,5.999
2019-11-23,01:00:00,75.702,5.639
2019-11-24,01:00:00,75.692,5.412
2019-11-25,01:00:00,75.676,5.059
2019-11-26,01:00:00,75.669,4.912
2019-11-27,01:00:00,75.657,4.645
2019-11-28,01:00:00,75.641,4.329
2019-11-29,01:00:00,75.685,5.423
2019-11-30,01:00:00,75.672,4.977
2019-12-01,01:00:00,75.652,4.556
2019-12-02,01:00:00,75.628,4.083
2019-12-03,01:00:00,75.685,5.369
2019-12-04,01:00:00,75.720,6.112
2019-12-05,01:00:00,75.642,4.350
2019-12-06,01:00:00,75.622,3.966
2019-12-07,01:00:00,75.614,3.824
2019-12-08,01:00:00,75.631,4.177
2019-12-09,01:00:00,75.698,5.569
2019-12-10,01:00:00,75.624,4.004
2019-12-11,01:00:00,75.594,3.487
2019-12-12,01:00:00,75.587,3.365
2019-12-13,01:00:00,75.609,3.745
2019-12-14,01:00:00,75.587,3.365
2019-12-15,01:00:00,75.575,3.169
2019-12-16,01:00:00,75.603,3.650
2019-12-17,01:00:00,75.726,6.755
2019-12-18,01:00:00,76.051,16.650
2019-12-19,01:00:00,75.859,9.931
2019-12-20,01:00:00,75.842,9.493
2019-12-21,01:00:00,75.865,10.108
2019-12-22,01:00:00,75.792,7.897
2019-12-23,01:00:00,75.758,7.005
2019-12-24,01:00:00,75.712,5.878
2019-12-25,01:00:00,75.694,5.448
2019-12-26,01:00:00,75.675,5.023
2019-12-27,01:00:00,75.656,4.617
2019-12-28,01:00:00,75.637,4.256
2019-12-29,01:00:00,75.623,3.985
2019-12-30,01:00:00,75.613,3.810
2019-12-31,01:00:00,75.605,3.668
2020-01-01,01:00:00,75.596,3.509
2020-01-02,01:00:00,75.585,3.333
2020-01-03,01:00:00,75.578,3.217
2020-01-04,01:00:00,75.572,3.125
2020-01-05,01:00:00,75.564,2.998
2020-01-06,01:00:00,75.568,3.056
2020-01-07,01:00:00,75.559,2.920
2020-01-08,01:00:00,75.558,2.899
2020-01-09,01:00:00,75.549,2.754
2020-01-10,01:00:00,75.542,2.653
2020-01-11,01:00:00,75.535,2.546
2020-01-12,01:00:00,75.523,2.365
2020-01-13,01:00:00,75.531,2.491
2020-01-14,01:00:00,75.581,3.263
2020-01-15,01:00:00,75.547,2.737
2020-01-16,01:00:00,75.522,2.353
2020-01-17,01:00:00,75.512,2.205
2020-01-18,01:00:00,75.507,2.139
2020-01-19,01:00:00,75.511,2.191
2020-01-20,01:00:00,75.500,2.040
2020-01-21,01:00:00,75.494,1.965
2020-01-22,01:00:00,75.493,1.946
2020-01-23,01:00:00,75.489,1.902
2020-01-24,01:00:00,75.483,1.827
2020-01-25,01:00:00,75.479,1.772
2020-01-26,01:00:00,75.476,1.736
2020-01-27,01:00:00,75.470,1.663
2020-01-28,01:00:00,75.471,1.679
2020-01-29,01:00:00,75.490,1.920
2020-01-30,01:00:00,75.544,2.687
2020-01-31,01:00:00,75.508,2.190
2020-02-01,01:00:00,75.484,1.849
2020-02-02,01:00:00,75.473,1.701
2020-02-03,01:00:00,75.468,1.639
2020-02-04,01:00:00,75.464,1.588
2020-02-05,01:00:00,75.464,1.593
2020-02-06,01:00:00,75.460,1.543
2020-02-07,01:00:00,75.459,1.538
