River Level - Piako River - Paeroa-Tahuna Rd Br - 3rd May 2016 - 18th May 2025

date,time,wlvalue,flvalue
2019-10-22,01:00:00,2.107,3.787
2019-10-23,01:00:00,2.121,3.869
2019-10-24,01:00:00,2.100,3.714
2019-10-25,01:00:00,2.109,3.761
2019-10-26,01:00:00,2.051,3.363
2019-10-27,01:00:00,1.988,2.938
2019-10-28,01:00:00,1.955,2.710
2019-10-29,01:00:00,1.939,2.595
2019-10-30,01:00:00,1.938,2.575
2019-10-31,01:00:00,1.910,2.389
2019-11-01,01:00:00,1.876,2.162
2019-11-02,01:00:00,1.845,1.966
2019-11-03,01:00:00,1.819,1.799
2019-11-04,01:00:00,1.802,1.692
2019-11-05,01:00:00,1.791,1.619
2019-11-06,01:00:00,1.787,1.582
2019-11-07,01:00:00,1.771,1.485
2019-11-08,01:00:00,1.767,1.453
2019-11-09,01:00:00,1.747,1.341
2019-11-10,01:00:00,1.771,1.456
2019-11-11,01:00:00,1.837,1.809
2019-11-12,01:00:00,1.905,2.205
2019-11-13,01:00:00,1.870,1.978
2019-11-14,01:00:00,1.823,1.693
2019-11-15,01:00:00,1.841,1.792
2019-11-16,01:00:00,1.867,1.937
2019-11-17,01:00:00,1.825,1.689
2019-11-18,01:00:00,1.864,1.915
2019-11-19,01:00:00,2.804,9.191
2019-11-20,01:00:00,2.605,7.371
2019-11-21,01:00:00,2.208,4.140
2019-11-22,01:00:00,2.061,3.118
2019-11-23,01:00:00,1.974,2.547
2019-11-24,01:00:00,1.927,2.241
2019-11-25,01:00:00,1.894,2.033
2019-11-26,01:00:00,1.872,1.895
2019-11-27,01:00:00,1.853,1.778
2019-11-28,01:00:00,1.832,1.650
2019-11-29,01:00:00,1.814,1.546
2019-11-30,01:00:00,1.802,1.472
2019-12-01,01:00:00,1.788,1.394
2019-12-02,01:00:00,1.777,1.334
2019-12-03,01:00:00,1.779,1.336
2019-12-04,01:00:00,1.813,1.504
2019-12-05,01:00:00,1.818,1.524
2019-12-06,01:00:00,1.804,1.445
2019-12-07,01:00:00,1.781,1.320
2019-12-08,01:00:00,1.801,1.417
2019-12-09,01:00:00,2.166,3.737
2019-12-10,01:00:00,2.327,4.890
2019-12-11,01:00:00,2.047,2.879
2019-12-12,01:00:00,1.905,1.969
2019-12-13,01:00:00,1.854,1.664
2019-12-14,01:00:00,1.831,1.535
2019-12-15,01:00:00,1.802,1.376
2019-12-16,01:00:00,1.785,1.285
2019-12-17,01:00:00,1.802,1.364
2019-12-18,01:00:00,2.112,3.297
2019-12-19,01:00:00,2.309,4.675
2019-12-20,01:00:00,2.131,3.372
2019-12-21,01:00:00,2.007,2.539
2019-12-22,01:00:00,1.963,2.250
2019-12-23,01:00:00,1.913,1.934
2019-12-24,01:00:00,1.869,1.667
2019-12-25,01:00:00,1.839,1.499
2019-12-26,01:00:00,1.813,1.357
2019-12-27,01:00:00,1.802,1.296
2019-12-28,01:00:00,1.795,1.256
2019-12-29,01:00:00,1.781,1.180
2019-12-30,01:00:00,1.765,1.102
2019-12-31,01:00:00,1.751,1.038
2020-01-01,01:00:00,1.746,1.012
2020-01-02,01:00:00,1.744,0.995
2020-01-03,01:00:00,1.739,0.970
2020-01-04,01:00:00,1.733,0.942
2020-01-05,01:00:00,1.726,0.912
2020-01-06,01:00:00,1.721,0.888
2020-01-07,01:00:00,1.711,0.847
2020-01-08,01:00:00,1.708,0.831
2020-01-09,01:00:00,1.708,0.825
2020-01-10,01:00:00,1.695,0.781
2020-01-11,01:00:00,1.689,0.755
2020-01-12,01:00:00,1.687,0.746
2020-01-13,01:00:00,1.679,0.719
2020-01-14,01:00:00,1.677,0.708
2020-01-15,01:00:00,1.711,0.808
2020-01-16,01:00:00,1.695,0.751
2020-01-17,01:00:00,1.694,0.744
2020-01-18,01:00:00,1.673,0.685
2020-01-19,01:00:00,1.673,0.686
2020-01-20,01:00:00,1.656,0.644
2020-01-21,01:00:00,1.626,0.576
2020-01-22,01:00:00,1.607,0.540
2020-01-23,01:00:00,1.601,0.528
2020-01-24,01:00:00,1.610,0.544
2020-01-25,01:00:00,1.598,0.524
2020-01-26,01:00:00,1.576,0.485
2020-01-27,01:00:00,1.562,0.463
2020-01-28,01:00:00,1.552,0.449
2020-01-29,01:00:00,1.545,0.438
2020-01-30,01:00:00,1.535,0.424
2020-01-31,01:00:00,1.543,0.438
2020-02-01,01:00:00,1.532,0.425
2020-02-02,01:00:00,1.529,0.425
2020-02-03,01:00:00,1.509,0.401
2020-02-04,01:00:00,1.501,0.393
2020-02-05,01:00:00,1.498,0.392
2020-02-06,01:00:00,1.489,0.384
2020-02-07,01:00:00,1.481,0.377
2020-02-08,01:00:00,1.478,0.377
2020-02-09,01:00:00,1.479,0.382
2020-02-10,01:00:00,1.471,0.375
2020-02-11,01:00:00,1.469,0.376
2020-02-12,01:00:00,1.465,0.374
2020-02-13,01:00:00,1.459,0.370
2020-02-14,01:00:00,1.468,0.384
2020-02-15,01:00:00,1.458,0.376
2020-02-16,01:00:00,1.455,0.375
2020-02-17,01:00:00,1.447,0.369
2020-02-18,01:00:00,1.447,0.369
2020-02-19,01:00:00,1.452,0.377
2020-02-20,01:00:00,1.453,0.379
2020-02-21,01:00:00,1.454,0.382
2020-02-22,01:00:00,1.453,0.383
2020-02-23,01:00:00,1.478,0.415
2020-02-24,01:00:00,1.477,0.415
2020-02-25,01:00:00,1.475,0.414
2020-02-26,01:00:00,1.475,0.416
2020-02-27,01:00:00,1.469,0.410
2020-02-28,01:00:00,1.462,0.402
2020-02-29,01:00:00,1.455,0.396
2020-03-01,01:00:00,1.452,0.393
2020-03-02,01:00:00,1.440,0.379
2020-03-03,01:00:00,1.443,0.385
2020-03-04,01:00:00,1.454,0.399
2020-03-05,01:00:00,1.529,0.519
2020-03-06,01:00:00,1.472,0.426
2020-03-07,01:00:00,1.464,0.417
2020-03-08,01:00:00,1.449,0.399
2020-03-09,01:00:00,1.443,0.393
2020-03-10,01:00:00,1.489,0.462
2020-03-11,01:00:00,1.471,0.433
2020-03-12,01:00:00,1.461,0.421
2020-03-13,01:00:00,1.466,0.430
2020-03-14,01:00:00,1.462,0.425
2020-03-15,01:00:00,1.460,0.424
2020-03-16,01:00:00,1.446,0.406
2020-03-17,01:00:00,1.435,0.392
2020-03-18,01:00:00,1.431,0.388
2020-03-19,01:00:00,1.437,0.398
2020-03-20,01:00:00,1.440,0.403
2020-03-21,01:00:00,1.451,0.420
2020-03-22,01:00:00,1.434,0.397
2020-03-23,01:00:00,1.456,0.432
2020-03-24,01:00:00,1.531,0.567
2020-03-25,01:00:00,1.538,0.601
2020-03-26,01:00:00,1.627,0.857
2020-03-27,01:00:00,1.559,0.646
2020-03-28,01:00:00,1.520,0.554
2020-03-29,01:00:00,1.493,0.501
2020-03-30,01:00:00,1.485,0.488
2020-03-31,01:00:00,1.477,0.477
2020-04-01,01:00:00,1.474,0.473
2020-04-02,01:00:00,1.495,0.514
2020-04-03,01:00:00,1.486,0.497
2020-04-04,01:00:00,1.469,0.469
2020-04-05,01:00:00,1.459,0.453
2020-04-06,00:00:00,1.451,0.442
2020-04-07,00:00:00,1.444,0.434
2020-04-08,00:00:00,1.453,0.449
2020-04-09,00:00:00,1.571,0.768
2020-04-10,00:00:00,1.519,0.585
2020-04-11,00:00:00,1.549,0.665
2020-04-12,00:00:00,1.521,0.592
2020-04-13,00:00:00,1.577,0.776
2020-04-14,00:00:00,1.593,0.830
2020-04-15,00:00:00,1.594,0.830
2020-04-16,00:00:00,1.580,0.783
2020-04-17,00:00:00,1.566,0.736
2020-04-18,00:00:00,1.536,0.646
2020-04-19,00:00:00,1.532,0.637
2020-04-20,00:00:00,1.595,0.857
2020-04-21,00:00:00,1.590,0.841
2020-04-22,00:00:00,1.550,0.700
2020-04-23,00:00:00,1.538,0.666
2020-04-24,00:00:00,1.521,0.620
2020-04-25,00:00:00,1.509,0.591
2020-04-26,00:00:00,1.505,0.584
2020-04-27,00:00:00,1.495,0.562
2020-04-28,00:00:00,1.492,0.557
2020-04-29,00:00:00,1.487,0.547
2020-04-30,00:00:00,1.489,0.552
2020-05-01,00:00:00,1.486,0.546
2020-05-02,00:00:00,1.485,0.544
2020-05-03,00:00:00,1.504,0.594
2020-05-04,00:00:00,1.752,1.781
2020-05-05,00:00:00,2.061,3.728
2020-05-06,00:00:00,1.955,3.031
2020-05-07,00:00:00,1.818,2.155
2020-05-08,00:00:00,1.725,1.590
2020-05-09,00:00:00,1.668,1.260
2020-05-10,00:00:00,1.622,1.024
2020-05-11,00:00:00,1.594,0.894
2020-05-12,00:00:00,1.573,0.806
2020-05-13,00:00:00,1.556,0.742
2020-05-14,00:00:00,1.544,0.702
2020-05-15,00:00:00,1.540,0.689
2020-05-16,00:00:00,1.529,0.655
2020-05-17,00:00:00,1.527,0.652
2020-05-18,00:00:00,1.530,0.659
2020-05-19,00:00:00,1.522,0.636
2020-05-20,00:00:00,1.515,0.617
2020-05-21,00:00:00,1.518,0.625
2020-05-22,00:00:00,1.516,0.621
2020-05-23,00:00:00,1.512,0.609
2020-05-24,00:00:00,1.515,0.618
2020-05-25,00:00:00,1.544,0.707
2020-05-26,00:00:00,1.590,0.875
2020-05-27,00:00:00,1.623,1.028
2020-05-28,00:00:00,1.609,0.961
2020-05-29,00:00:00,1.577,0.821
2020-05-30,00:00:00,1.576,0.817
2020-05-31,00:00:00,1.578,0.826
2020-06-01,00:00:00,1.589,0.880
2020-06-02,00:00:00,1.758,1.786
2020-06-03,00:00:00,1.784,1.948
2020-06-04,00:00:00,1.768,1.847
2020-06-05,00:00:00,1.770,1.861
2020-06-06,00:00:00,1.719,1.556
2020-06-07,00:00:00,1.685,1.359
2020-06-08,00:00:00,1.652,1.173
2020-06-09,00:00:00,1.627,1.047
2020-06-10,00:00:00,1.611,0.970
2020-06-11,00:00:00,1.599,0.916
2020-06-12,00:00:00,1.594,0.891
2020-06-13,00:00:00,1.594,0.894
2020-06-14,00:00:00,1.582,0.843
2020-06-15,00:00:00,1.575,0.815
2020-06-16,00:00:00,1.567,0.783
2020-06-17,00:00:00,1.566,0.780
2020-06-18,00:00:00,1.577,0.829
2020-06-19,00:00:00,1.769,1.857
2020-06-20,00:00:00,1.965,3.096
2020-06-21,00:00:00,2.189,4.613
2020-06-22,00:00:00,2.056,3.690
2020-06-23,00:00:00,1.938,2.923
2020-06-24,00:00:00,1.843,2.312
2020-06-25,00:00:00,1.875,2.516
2020-06-26,00:00:00,1.961,3.068
2020-06-27,00:00:00,2.544,7.544
2020-06-28,00:00:00,3.662,17.711
2020-06-29,00:00:00,3.389,14.603
2020-06-30,00:00:00,2.912,9.967
2020-07-01,00:00:00,2.626,7.400
2020-07-02,00:00:00,2.377,5.288
