River Level - Waihou River - Te Aroha - ADCP - 8th May 2018 - 18th May 2025

date,time,wlvalue,flvalue
2019-10-22,01:00:00,7.542,31.569
2019-10-23,01:00:00,7.544,31.602
2019-10-24,01:00:00,7.528,31.225
2019-10-25,01:00:00,7.511,30.794
2019-10-26,01:00:00,7.468,29.745
2019-10-27,01:00:00,7.428,28.759
2019-10-28,01:00:00,7.397,28.034
2019-10-29,01:00:00,7.383,27.686
2019-10-30,01:00:00,7.373,27.445
2019-10-31,01:00:00,7.349,26.871
2019-11-01,01:00:00,7.329,26.416
2019-11-02,01:00:00,7.311,25.994
2019-11-03,01:00:00,7.299,25.707
2019-11-04,01:00:00,7.285,25.368
2019-11-05,01:00:00,7.273,25.103
2019-11-06,01:00:00,7.262,24.860
2019-11-07,01:00:00,7.255,24.680
2019-11-08,01:00:00,7.243,24.418
2019-11-09,01:00:00,7.234,24.207
2019-11-10,01:00:00,7.263,24.877
2019-11-11,01:00:00,7.320,26.203
2019-11-12,01:00:00,7.326,26.326
2019-11-13,01:00:00,7.271,25.057
2019-11-14,01:00:00,7.250,24.572
2019-11-15,01:00:00,7.270,25.027
2019-11-16,01:00:00,7.265,24.929
2019-11-17,01:00:00,7.239,24.326
2019-11-18,01:00:00,7.416,28.569
2019-11-19,01:00:00,7.708,35.678
2019-11-20,01:00:00,7.732,36.267
2019-11-21,01:00:00,7.468,29.737
2019-11-22,01:00:00,7.348,26.854
2019-11-23,01:00:00,7.297,25.663
2019-11-24,01:00:00,7.272,25.075
2019-11-25,01:00:00,7.258,24.755
2019-11-26,01:00:00,7.244,24.438
2019-11-27,01:00:00,7.233,24.193
2019-11-28,01:00:00,7.225,24.004
2019-11-29,01:00:00,7.214,23.759
2019-11-30,01:00:00,7.204,23.539
2019-12-01,01:00:00,7.200,23.444
2019-12-02,01:00:00,7.216,23.804
2019-12-03,01:00:00,7.222,23.950
2019-12-04,01:00:00,7.255,24.680
2019-12-05,01:00:00,7.252,24.613
2019-12-06,01:00:00,7.212,23.717
2019-12-07,01:00:00,7.215,23.791
2019-12-08,01:00:00,7.236,24.257
2019-12-09,01:00:00,7.307,25.908
2019-12-10,01:00:00,7.438,29.026
2019-12-11,01:00:00,7.301,25.763
2019-12-12,01:00:00,7.236,24.266
2019-12-13,01:00:00,7.234,24.224
2019-12-14,01:00:00,7.228,24.074
2019-12-15,01:00:00,7.209,23.655
2019-12-16,01:00:00,7.205,23.575
2019-12-17,01:00:00,7.429,28.922
2019-12-18,01:00:00,8.065,44.496
2019-12-19,01:00:00,8.317,49.882
2019-12-20,01:00:00,7.941,38.678
2019-12-21,01:00:00,7.620,30.370
2019-12-22,01:00:00,7.496,27.349
2019-12-23,01:00:00,7.405,25.209
2019-12-24,01:00:00,7.357,24.099
2019-12-25,01:00:00,7.353,23.999
2019-12-26,01:00:00,7.552,28.709
2019-12-27,01:00:00,7.542,28.461
2019-12-28,01:00:00,7.410,25.318
2019-12-29,01:00:00,7.346,23.844
2019-12-30,01:00:00,7.306,22.932
2019-12-31,01:00:00,7.287,22.509
2020-01-01,01:00:00,7.271,22.146
2020-01-02,01:00:00,7.254,21.774
2020-01-03,01:00:00,7.242,21.522
2020-01-04,01:00:00,7.230,21.267
2020-01-05,01:00:00,7.220,21.043
2020-01-06,01:00:00,7.214,20.919
2020-01-07,01:00:00,7.207,20.771
2020-01-08,01:00:00,7.197,20.550
2020-01-09,01:00:00,7.191,20.422
2020-01-10,01:00:00,7.186,20.317
2020-01-11,01:00:00,7.182,20.227
2020-01-12,01:00:00,7.175,20.077
2020-01-13,01:00:00,7.169,19.963
2020-01-14,01:00:00,7.176,20.103
2020-01-15,01:00:00,7.199,20.596
2020-01-16,01:00:00,7.183,20.265
2020-01-17,01:00:00,7.168,19.935
2020-01-18,01:00:00,7.162,19.809
2020-01-19,01:00:00,7.162,19.817
2020-01-20,01:00:00,7.156,19.687
2020-01-21,01:00:00,7.151,19.582
2020-01-22,01:00:00,7.151,19.577
2020-01-23,01:00:00,7.155,19.669
2020-01-24,01:00:00,7.150,19.555
2020-01-25,01:00:00,7.145,19.462
2020-01-26,01:00:00,7.143,19.411
2020-01-27,01:00:00,7.140,19.368
2020-01-28,01:00:00,7.140,19.366
2020-01-29,01:00:00,7.147,19.494
2020-01-30,01:00:00,7.149,19.543
2020-01-31,01:00:00,7.152,19.611
2020-02-01,01:00:00,7.143,19.426
2020-02-02,01:00:00,7.136,19.276
2020-02-03,01:00:00,7.134,19.235
2020-02-04,01:00:00,7.133,19.214
2020-02-05,01:00:00,7.133,19.214
2020-02-06,01:00:00,7.130,19.158
2020-02-07,01:00:00,7.126,19.067
2020-02-08,01:00:00,7.126,19.062
2020-02-09,01:00:00,7.128,19.104
2020-02-10,01:00:00,7.128,19.109
2020-02-11,01:00:00,7.126,19.075
2020-02-12,01:00:00,7.124,19.030
2020-02-13,01:00:00,7.121,18.973
2020-02-14,01:00:00,7.121,18.974
2020-02-15,01:00:00,7.121,18.961
2020-02-16,01:00:00,7.126,19.078
2020-02-17,01:00:00,7.128,19.115
2020-02-18,01:00:00,7.130,19.152
2020-02-19,01:00:00,7.135,19.248
2020-02-20,01:00:00,7.139,19.345
2020-02-21,01:00:00,7.137,19.291
2020-02-22,01:00:00,7.156,19.695
2020-02-23,01:00:00,7.176,20.101
2020-02-24,01:00:00,7.179,20.172
2020-02-25,01:00:00,7.169,19.965
2020-02-26,01:00:00,7.153,19.633
2020-02-27,01:00:00,7.148,19.514
2020-02-28,01:00:00,7.146,19.475
2020-02-29,01:00:00,7.145,19.452
2020-03-01,01:00:00,7.144,19.443
2020-03-02,01:00:00,7.142,19.408
2020-03-03,01:00:00,7.140,19.368
2020-03-04,01:00:00,7.151,19.595
2020-03-05,01:00:00,7.185,20.304
2020-03-06,01:00:00,7.194,20.491
2020-03-07,01:00:00,7.158,19.725
2020-03-08,01:00:00,7.150,19.574
2020-03-09,01:00:00,7.150,19.575
2020-03-10,01:00:00,7.169,19.963
2020-03-11,01:00:00,7.190,20.398
2020-03-12,01:00:00,7.179,20.170
2020-03-13,01:00:00,7.162,19.805
2020-03-14,01:00:00,7.152,19.606
2020-03-15,01:00:00,7.150,19.570
2020-03-16,01:00:00,7.151,19.582
2020-03-17,01:00:00,7.152,19.607
2020-03-18,01:00:00,7.144,19.434
2020-03-19,01:00:00,7.139,19.331
2020-03-20,01:00:00,7.147,19.496
2020-03-21,01:00:00,7.153,19.621
2020-03-22,01:00:00,7.157,19.705
2020-03-23,01:00:00,7.200,20.613
2020-03-24,01:00:00,7.293,22.644
2020-03-25,01:00:00,7.372,24.427
2020-03-26,01:00:00,7.259,21.889
2020-03-27,01:00:00,7.215,20.927
2020-03-28,01:00:00,7.213,20.888
2020-03-29,01:00:00,7.217,20.986
